"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 15 14:02:25 GMT 2024","Sat Jun 15 14:02:26 GMT 2024","1664","CrossBrowser Test Suite","ChromiumBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:15 GMT 2024","Sat Jun 15 14:02:16 GMT 2024","1683","CrossBrowser Test Suite","ChromiumBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:23 GMT 2024","Sat Jun 15 14:02:25 GMT 2024","1614","CrossBrowser Test Suite","ChromeBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:17 GMT 2024","Sat Jun 15 14:02:19 GMT 2024","2051","CrossBrowser Test Suite","ChromeBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:26 GMT 2024","Sat Jun 15 14:02:28 GMT 2024","1131","CrossBrowser Test Suite","ChromiumBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base Url","verify that the URL and Title of the application are correct and as expected"
"passed","Sat Jun 15 14:02:23 GMT 2024","Sat Jun 15 14:02:24 GMT 2024","1636","CrossBrowser Test Suite","ChromiumBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:21 GMT 2024","Sat Jun 15 14:02:22 GMT 2024","1665","CrossBrowser Test Suite","ChromiumBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:19 GMT 2024","Sat Jun 15 14:02:21 GMT 2024","1886","CrossBrowser Test Suite","ChromeBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:16 GMT 2024","Sat Jun 15 14:02:19 GMT 2024","2092","CrossBrowser Test Suite","ChromiumBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:15 GMT 2024","Sat Jun 15 14:02:16 GMT 2024","1900","CrossBrowser Test Suite","ChromeBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:19 GMT 2024","Sat Jun 15 14:02:20 GMT 2024","1662","CrossBrowser Test Suite","ChromiumBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:27 GMT 2024","Sat Jun 15 14:02:28 GMT 2024","1085","CrossBrowser Test Suite","ChromeBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base Url","verify that the URL and Title of the application are correct and as expected"
"passed","Sat Jun 15 14:02:28 GMT 2024","Sat Jun 15 14:02:31 GMT 2024","3142","CrossBrowser Test Suite","ChromiumBrowser","com.lumatest.test.PoductPageTest","com.lumatest.test.PoductPageTest","testProductDrivenBackPack","testProductDrivenBackPack",""
"passed","Sat Jun 15 14:02:21 GMT 2024","Sat Jun 15 14:02:23 GMT 2024","1686","CrossBrowser Test Suite","ChromeBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:25 GMT 2024","Sat Jun 15 14:02:26 GMT 2024","1643","CrossBrowser Test Suite","ChromeBrowser","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","verify that the top menu navigation on website functions correctly by ensuring thatclicking on menu items directs the user on correct page"
"passed","Sat Jun 15 14:02:28 GMT 2024","Sat Jun 15 14:02:31 GMT 2024","3299","CrossBrowser Test Suite","ChromeBrowser","com.lumatest.test.PoductPageTest","com.lumatest.test.PoductPageTest","testProductDrivenBackPack","testProductDrivenBackPack",""
