"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jun 04 00:25:39 GMT 2024","Tue Jun 04 00:25:39 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"skipped","Tue Jun 04 00:25:39 GMT 2024","Tue Jun 04 00:25:39 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"skipped","Tue Jun 04 00:25:39 GMT 2024","Tue Jun 04 00:25:39 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenSection","testNavigationMenuWomenSection",""
"skipped","Tue Jun 04 00:25:39 GMT 2024","Tue Jun 04 00:25:39 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"skipped","Tue Jun 04 00:25:39 GMT 2024","Tue Jun 04 00:25:39 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"skipped","Tue Jun 04 00:25:39 GMT 2024","Tue Jun 04 00:25:39 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenTopsSection","testNavigationMenuWomenTopsSection",""
"skipped","Tue Jun 04 00:25:39 GMT 2024","Tue Jun 04 00:25:39 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"broken","Tue Jun 04 00:25:39 GMT 2024","Tue Jun 04 00:25:39 GMT 2024","2","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","setup","setup",""
"skipped","Tue Jun 04 00:25:39 GMT 2024","Tue Jun 04 00:25:39 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenSection","testNavigationMenuWomenSection",""
"skipped","Tue Jun 04 00:25:39 GMT 2024","Tue Jun 04 00:25:39 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base Url","TC-01 Open Base Url"
"skipped","Tue Jun 04 00:25:39 GMT 2024","Tue Jun 04 00:25:39 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
