"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 17:42:05 GMT 2024","Thu Jun 06 17:42:08 GMT 2024","3572","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"passed","Thu Jun 06 17:42:15 GMT 2024","Thu Jun 06 17:42:19 GMT 2024","3755","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"unknown","Thu Jun 06 17:41:53 GMT 2024","Thu Jun 06 17:41:53 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenSection","testNavigationMenuWomenSection","TC-03 testNavigationMenuWomenSection"
"passed","Thu Jun 06 17:42:12 GMT 2024","Thu Jun 06 17:42:15 GMT 2024","2945","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"unknown","Thu Jun 06 17:41:53 GMT 2024","Thu Jun 06 17:41:53 GMT 2024","2","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenTopsSection","testNavigationMenuWomenTopsSection","TC-03 testNavigationMenuWomenTopsSection"
"passed","Thu Jun 06 17:42:19 GMT 2024","Thu Jun 06 17:42:21 GMT 2024","2006","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base Url","TC-01 Open Base Url"
"passed","Thu Jun 06 17:42:08 GMT 2024","Thu Jun 06 17:42:12 GMT 2024","3481","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"passed","Thu Jun 06 17:41:58 GMT 2024","Thu Jun 06 17:42:02 GMT 2024","3766","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"passed","Thu Jun 06 17:42:02 GMT 2024","Thu Jun 06 17:42:04 GMT 2024","2213","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
