"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 18:14:20 GMT 2024","Thu Jun 06 18:14:21 GMT 2024","998","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base Url","TC-01 Open Base Url"
"passed","Thu Jun 06 18:14:18 GMT 2024","Thu Jun 06 18:14:20 GMT 2024","1452","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"passed","Thu Jun 06 18:14:15 GMT 2024","Thu Jun 06 18:14:16 GMT 2024","1402","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"unknown","Thu Jun 06 18:14:08 GMT 2024","Thu Jun 06 18:14:08 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenSection","testNavigationMenuWomenSection","TC-03 testNavigationMenuWomenSection"
"passed","Thu Jun 06 18:14:16 GMT 2024","Thu Jun 06 18:14:18 GMT 2024","1547","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"passed","Thu Jun 06 18:14:09 GMT 2024","Thu Jun 06 18:14:11 GMT 2024","1676","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"passed","Thu Jun 06 18:14:13 GMT 2024","Thu Jun 06 18:14:14 GMT 2024","1705","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"unknown","Thu Jun 06 18:14:08 GMT 2024","Thu Jun 06 18:14:08 GMT 2024","2","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenTopsSection","testNavigationMenuWomenTopsSection","TC-03 testNavigationMenuWomenTopsSection"
"passed","Thu Jun 06 18:14:11 GMT 2024","Thu Jun 06 18:14:13 GMT 2024","1637","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
