"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 18:10:06 GMT 2024","Thu Jun 06 18:10:08 GMT 2024","2520","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"passed","Thu Jun 06 18:10:03 GMT 2024","Thu Jun 06 18:10:05 GMT 2024","2601","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"passed","Thu Jun 06 18:10:11 GMT 2024","Thu Jun 06 18:10:12 GMT 2024","1274","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"passed","Thu Jun 06 18:10:00 GMT 2024","Thu Jun 06 18:10:03 GMT 2024","2454","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"passed","Thu Jun 06 18:10:14 GMT 2024","Thu Jun 06 18:10:14 GMT 2024","766","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base Url","TC-01 Open Base Url"
"unknown","Thu Jun 06 18:09:59 GMT 2024","Thu Jun 06 18:09:59 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenSection","testNavigationMenuWomenSection","TC-03 testNavigationMenuWomenSection"
"passed","Thu Jun 06 18:10:08 GMT 2024","Thu Jun 06 18:10:10 GMT 2024","1955","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"unknown","Thu Jun 06 18:09:59 GMT 2024","Thu Jun 06 18:09:59 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenTopsSection","testNavigationMenuWomenTopsSection","TC-03 testNavigationMenuWomenTopsSection"
"passed","Thu Jun 06 18:10:12 GMT 2024","Thu Jun 06 18:10:13 GMT 2024","1197","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
